timestamp,error_m
1.780398108643671989e+09,3.476750824096921377e+01
1.780398108743854046e+09,3.486408970499024917e+01
1.780398108844052792e+09,3.497482837637613784e+01
1.780398108944299936e+09,3.509949639619539141e+01
1.780398109044610500e+09,3.519381472653969922e+01
1.780398109144778967e+09,3.527918889755201093e+01
1.780398109244755983e+09,3.538852118607058372e+01
1.780398109344707489e+09,3.546568042002736121e+01
1.780398109444690943e+09,3.556118776287585348e+01
1.780398109544757366e+09,3.563205859383641894e+01
1.780398109644797802e+09,3.572589075257916846e+01
1.780398109744832516e+09,3.580712600785425082e+01
1.780398109844846010e+09,3.589557616646871452e+01
1.780398109944888830e+09,3.597634209964873264e+01
1.780398110044978619e+09,3.607939336484903237e+01
1.780398110145024538e+09,3.616341308317200287e+01
1.780398110244919300e+09,3.625702531969439946e+01
1.780398110344729424e+09,3.633406056903121595e+01
1.780398110444444180e+09,3.642232745402217375e+01
1.780398110544142962e+09,3.650922204414141703e+01
1.780398110643935680e+09,3.664018105968199990e+01
1.780398110743891478e+09,3.674212162858757580e+01
1.780398110843945026e+09,3.686730849074859151e+01
1.780398110944094181e+09,3.695877277790450677e+01
1.780398111044155359e+09,3.705731210313477675e+01
1.780398111144131184e+09,3.713606359173911642e+01
1.780398111244138479e+09,3.724312136288310882e+01
1.780398111344221592e+09,3.733221305617265529e+01
1.780398111444351673e+09,3.743419287674358031e+01
1.780398111544587612e+09,3.750347588485690409e+01
1.780398111644770384e+09,3.760619143921987018e+01
1.780398111744915485e+09,3.767658837609108247e+01
1.780398111844998360e+09,3.777889496313868278e+01
1.780398111944950342e+09,3.787242513168513369e+01
1.780398112044800043e+09,3.798752813348841073e+01
1.780398112144611597e+09,3.808647382957619243e+01
1.780398112244421005e+09,3.818957592422859904e+01
1.780398112344216108e+09,3.827445871398781208e+01
1.780398112443959713e+09,3.838057623979316446e+01
1.780398112543885708e+09,3.845527434885556062e+01
1.780398112643877029e+09,3.856059895869481124e+01
1.780398112743896246e+09,3.866630920425260598e+01
1.780398112843979359e+09,3.880859674216565480e+01
1.780398112944105387e+09,3.891083540115874229e+01
1.780398113044143438e+09,3.904136566605914993e+01
1.780398113144058466e+09,3.914773640077773109e+01
1.780398113243993044e+09,3.925968044915816080e+01
1.780398113344012260e+09,3.938003759302355178e+01
1.780398113444068432e+09,3.954738326945836491e+01
