timestamp,est_x,est_y,est_z,gt_x,gt_y,gt_z
1.780397405210518599e+09,-1.093832067464953042e+02,-1.089708441410092661e+02,-3.684146484419525081e+01,-2.643857521903616004e+00,-4.713736012119395191e+00,1.170480000000004850e-01
1.780397405310420513e+09,-1.093834403432432936e+02,-1.089709376247039501e+02,-3.684087449314870355e+01,-2.727525329031866175e+00,-4.841316800418820065e+00,1.211790000000014800e-01
1.780397405410351515e+09,-1.093836120352997341e+02,-1.089709378023513295e+02,-3.684021971547178254e+01,-2.727525329031866175e+00,-4.841316800418820065e+00,1.211790000000014800e-01
1.780397405510332108e+09,-1.093836113547980062e+02,-1.089708572312257076e+02,-3.683954595525431586e+01,-2.795625945874598894e+00,-4.952282699386080900e+00,1.259189999999996701e-01
1.780397405610416651e+09,-1.093833919123971015e+02,-1.089708229950942808e+02,-3.683892071616406128e+01,-2.795625945874598894e+00,-4.952282699386080900e+00,1.259189999999996701e-01
1.780397405710550547e+09,-1.093830006774490897e+02,-1.089707498586341075e+02,-3.683820963369792167e+01,-2.855967659753635868e+00,-5.065970316175823385e+00,1.280000000000001137e-01
1.780397405810674667e+09,-1.093824679805808842e+02,-1.089705681010962621e+02,-3.683729526821079503e+01,-2.855967659753635868e+00,-5.065970316175823385e+00,1.280000000000001137e-01
1.780397405910801649e+09,-1.093818236072891494e+02,-1.089703924203829644e+02,-3.683629473168078761e+01,-2.903883296213683796e+00,-5.175338599014487784e+00,1.246940000000016369e-01
1.780397406010897398e+09,-1.093811620473443185e+02,-1.089702739638822067e+02,-3.683517391211599801e+01,-2.903883296213683796e+00,-5.175338599014487784e+00,1.246940000000016369e-01
1.780397406110981703e+09,-1.093802188062066421e+02,-1.089703243313893637e+02,-3.683475087988267660e+01,-2.940061908438115434e+00,-5.284697385791803370e+00,1.232490000000012742e-01
1.780397406211051702e+09,-1.093794784859773870e+02,-1.089704653191909642e+02,-3.683427493198851721e+01,-2.940061908438115434e+00,-5.284697385791803370e+00,1.232490000000012742e-01
1.780397406311126709e+09,-1.093789034512985126e+02,-1.089705052125510605e+02,-3.683388256400064620e+01,-3.011339319246133961e+00,-5.429453977334459225e+00,1.203090000000024418e-01
1.780397406411099195e+09,-1.093786466527017467e+02,-1.089706000417748584e+02,-3.683366713907401646e+01,-3.011339319246133961e+00,-5.429453977334459225e+00,1.203090000000024418e-01
1.780397406511106491e+09,-1.093786158315204489e+02,-1.089705987675382204e+02,-3.683353236358995275e+01,-3.098564110961441909e+00,-5.598478360833341050e+00,1.221960000000024138e-01
1.780397406611061335e+09,-1.093790184479703242e+02,-1.089708243489773878e+02,-3.683344309988736143e+01,-3.098564110961441909e+00,-5.598478360833341050e+00,1.221960000000024138e-01
1.780397406710998774e+09,-1.093796113541394561e+02,-1.089711151306660923e+02,-3.683338436076828515e+01,-3.170847388150282331e+00,-5.762036934990176995e+00,1.282549999999993418e-01
1.780397406810771704e+09,-1.093809518186366034e+02,-1.089716000369686668e+02,-3.683250308339445667e+01,-3.170847388150282331e+00,-5.762036934990176995e+00,1.282549999999993418e-01
1.780397406910421610e+09,-1.093824912756315797e+02,-1.089721734238849677e+02,-3.683170501159015231e+01,-3.241764529521053539e+00,-5.932592639957904979e+00,1.455419999999989500e-01
1.780397407010046959e+09,-1.093839301829800945e+02,-1.089728033790461836e+02,-3.683095156939777581e+01,-3.241764529521053539e+00,-5.932592639957904979e+00,1.455419999999989500e-01
1.780397407109778166e+09,-1.093851058433934043e+02,-1.089732584667660404e+02,-3.683008391061703435e+01,-3.308169523377948895e+00,-6.083374917368819190e+00,1.549960000000005778e-01
1.780397407209627628e+09,-1.093858792677212506e+02,-1.089734922714863359e+02,-3.682899482698302052e+01,-3.308169523377948895e+00,-6.083374917368819190e+00,1.549960000000005778e-01
1.780397407309567451e+09,-1.093865310874231653e+02,-1.089737303403095581e+02,-3.682788556582729456e+01,-3.389960330875492645e+00,-6.233563425081068310e+00,1.493390000000012208e-01
1.780397407409612179e+09,-1.093869453975281800e+02,-1.089737515445960696e+02,-3.682673935925118514e+01,-3.389960330875492645e+00,-6.233563425081068310e+00,1.493390000000012208e-01
1.780397407509791851e+09,-1.093874582858862254e+02,-1.089736359435647870e+02,-3.682554746205186547e+01,-3.484561865784857826e+00,-6.391439716199173837e+00,1.555379999999999541e-01
1.780397407609990835e+09,-1.093878996167215405e+02,-1.089734360296488660e+02,-3.682427647718963470e+01,-3.484561865784857826e+00,-6.391439716199173837e+00,1.555379999999999541e-01
1.780397407710083246e+09,-1.093882680246816363e+02,-1.089732003865081396e+02,-3.682292968548890144e+01,-3.563404264529148158e+00,-6.557346905960822703e+00,1.604519999999993729e-01
1.780397407810034990e+09,-1.093884416612205968e+02,-1.089730200765501991e+02,-3.682170749046706248e+01,-3.563404264529148158e+00,-6.557346905960822703e+00,1.604519999999993729e-01
1.780397407909888983e+09,-1.093886551860567238e+02,-1.089728497394350768e+02,-3.682052033065829022e+01,-3.636013774178349145e+00,-6.730345830027300913e+00,1.645889999999994302e-01
1.780397408009831667e+09,-1.093888473547782212e+02,-1.089726377308955421e+02,-3.681944880998109682e+01,-3.636013774178349145e+00,-6.730345830027300913e+00,1.645889999999994302e-01
1.780397408109941244e+09,-1.093886757674659691e+02,-1.089723936496084065e+02,-3.681933819298627242e+01,-3.698819294833848748e+00,-6.889855730498961606e+00,1.635449999999991633e-01
1.780397408209759712e+09,-1.093885328066299394e+02,-1.089722833418768460e+02,-3.681927844013093676e+01,-3.698819294833848748e+00,-6.889855730498961606e+00,1.635449999999991633e-01
1.780397408309761047e+09,-1.093883350343800203e+02,-1.089721112845714259e+02,-3.681919009183827995e+01,-3.752663728521416164e+00,-7.056817047857377290e+00,1.585380000000000678e-01
1.780397408409851313e+09,-1.093881803737072289e+02,-1.089719003921553337e+02,-3.681922994739149857e+01,-3.752663728521416164e+00,-7.056817047857377290e+00,1.585380000000000678e-01
1.780397408509962082e+09,-1.093880645356508978e+02,-1.089717338052681441e+02,-3.681938150712798574e+01,-3.814945528446635148e+00,-7.251066690027529127e+00,1.601959999999991169e-01
1.780397408610068560e+09,-1.093879592308071693e+02,-1.089715492816059879e+02,-3.681955891881866449e+01,-3.814945528446635148e+00,-7.251066690027529127e+00,1.601959999999991169e-01
1.780397408710069656e+09,-1.093879340124775013e+02,-1.089714862629962369e+02,-3.681967969419146414e+01,-3.863194272556303321e+00,-7.450741287696633464e+00,1.592820000000010339e-01
1.780397408809970140e+09,-1.093821040007416769e+02,-1.089703644548974211e+02,-3.683867934620800355e+01,-3.863194272556303321e+00,-7.450741287696633464e+00,1.592820000000010339e-01
1.780397408909797907e+09,-1.093823114455792336e+02,-1.089704759047259586e+02,-3.683840002457423424e+01,-3.908208143656825229e+00,-7.658563460176973869e+00,1.573820000000019093e-01
1.780397409009758234e+09,-1.093822970679662347e+02,-1.089705958036364137e+02,-3.683897495373118858e+01,-3.908208143656825229e+00,-7.658563460176973869e+00,1.573820000000019093e-01
1.780397409109784126e+09,-1.093823728386377638e+02,-1.089705855223376858e+02,-3.683844580526409374e+01,-3.932115853973260133e+00,-7.874649250776180942e+00,1.532610000000005357e-01
1.780397409209730148e+09,-1.093820356831445508e+02,-1.089706540267991812e+02,-3.683890863602382382e+01,-3.932115853973260133e+00,-7.874649250776180942e+00,1.532610000000005357e-01
1.780397409309698105e+09,-1.093819632777766486e+02,-1.089706771516754600e+02,-3.683843669672391741e+01,-3.945075050951118101e+00,-8.068353970405736320e+00,1.610900000000015098e-01
1.780397409409643888e+09,-1.093815961976146838e+02,-1.089707131285441619e+02,-3.683889661717314112e+01,-3.945075050951118101e+00,-8.068353970405736320e+00,1.610900000000015098e-01
1.780397409509810209e+09,-1.093816004570321923e+02,-1.089706154306901027e+02,-3.683852394709562361e+01,-3.959621690868972976e+00,-8.271104064155554880e+00,1.665720000000021628e-01
1.780397409609679937e+09,-1.093817338460209356e+02,-1.089706186162318033e+02,-3.683811531739772249e+01,-3.959621690868972976e+00,-8.271104064155554880e+00,1.665720000000021628e-01
1.780397409709706068e+09,-1.093818399208858523e+02,-1.089706423915562681e+02,-3.683767632325541541e+01,-3.975307996329665361e+00,-8.492762110211890203e+00,1.687420000000017239e-01
1.780397409809776545e+09,-1.093821468134691344e+02,-1.089707196139702461e+02,-3.683717104447977420e+01,-3.975307996329665361e+00,-8.492762110211890203e+00,1.687420000000017239e-01
1.780397409909818411e+09,-1.093826169121475687e+02,-1.089707738561067885e+02,-3.683666494268847913e+01,-3.982051701757633122e+00,-8.717521372066475038e+00,1.804559999999995057e-01
1.780397410009732723e+09,-1.093831328556976956e+02,-1.089709171847085543e+02,-3.683609435950874200e+01,-3.982051701757633122e+00,-8.717521372066475038e+00,1.804559999999995057e-01
1.780397410109576702e+09,-1.093835376427222599e+02,-1.089711204318662965e+02,-3.683564483413947244e+01,-4.003450200344268239e+00,-8.948704331094775810e+00,1.940039999999996212e-01
1.780397410209483862e+09,-1.093839990107915412e+02,-1.089713282531762957e+02,-3.683528431810965742e+01,-4.003450200344268239e+00,-8.948704331094775810e+00,1.940039999999996212e-01
1.780397410309425354e+09,-1.093844077772726990e+02,-1.089713804313584831e+02,-3.683487012443372066e+01,-4.026320125501241520e+00,-9.178191378421772129e+00,1.981290000000015539e-01
1.780397410409457207e+09,-1.093848825609746029e+02,-1.089714784735243285e+02,-3.683435683877240052e+01,-4.026320125501241520e+00,-9.178191378421772129e+00,1.981290000000015539e-01
1.780397410509579182e+09,-1.093852497510229540e+02,-1.089715186726744349e+02,-3.683374672444153219e+01,-4.029593853420662342e+00,-9.378906916337616195e+00,1.999300000000019395e-01
1.780397410609669209e+09,-1.093855694574130126e+02,-1.089716364077968080e+02,-3.683314824949208344e+01,-4.029593853420662342e+00,-9.378906916337616195e+00,1.999300000000019395e-01
1.780397410709779501e+09,-1.093857178882522874e+02,-1.089716179675514951e+02,-3.683232636918248204e+01,-4.031056747097052195e+00,-9.563959248196033158e+00,2.075990000000018654e-01
1.780397410809888363e+09,-1.093856813580620866e+02,-1.089716309625556363e+02,-3.683125035260497526e+01,-4.031056747097052195e+00,-9.563959248196033158e+00,2.075990000000018654e-01
1.780397410909932137e+09,-1.093856784884927436e+02,-1.089716954432115870e+02,-3.683001937412808502e+01,-4.070962352216352720e+00,-9.720940487139261066e+00,2.168820000000017956e-01
1.780397411009887457e+09,-1.093859047395119717e+02,-1.089717647999495824e+02,-3.682864237517412676e+01,-4.070962352216352720e+00,-9.720940487139261066e+00,2.168820000000017956e-01
1.780397411109970570e+09,-1.093861672600802279e+02,-1.089717210479745830e+02,-3.682726255862257858e+01,-4.131794331866484704e+00,-9.889787782011939754e+00,2.304440000000020916e-01
1.780397411210169792e+09,-1.093864361583770233e+02,-1.089715561817171761e+02,-3.682602626787071642e+01,-4.131794331866484704e+00,-9.889787782011939754e+00,2.304440000000020916e-01
1.780397411310156345e+09,-1.093868637377545099e+02,-1.089714458110868804e+02,-3.682492532681874309e+01,-4.213435891490555640e+00,-1.009112216384251681e+01,2.370429999999998927e-01
1.780397411409883022e+09,-1.093872429884143855e+02,-1.089713891448118801e+02,-3.682394992132856970e+01,-4.213435891490555640e+00,-1.009112216384251681e+01,2.370429999999998927e-01
1.780397411512275934e+09,-1.093875173060217918e+02,-1.089713457500891565e+02,-3.682308666716651402e+01,-4.275684486957390895e+00,-1.025128099792026148e+01,2.507780000000003895e-01
1.780397411609805822e+09,-1.093875342535900614e+02,-1.089713664122697878e+02,-3.682328243962172820e+01,-4.275684486957390895e+00,-1.025128099792026148e+01,2.507780000000003895e-01
1.780397411709667921e+09,-1.093875978475979025e+02,-1.089714859171769490e+02,-3.682344728918749865e+01,-4.334933760344413578e+00,-1.040093850601337699e+01,2.566910000000000025e-01
1.780397411809546947e+09,-1.093878526790077359e+02,-1.089717040538170778e+02,-3.682360184131071890e+01,-4.334933760344413578e+00,-1.040093850601337699e+01,2.566910000000000025e-01
1.780397411909482479e+09,-1.093882489227433297e+02,-1.089719136600567992e+02,-3.682366937742163060e+01,-4.392350363487283360e+00,-1.055941901889733892e+01,2.552240000000018938e-01
1.780397412009414196e+09,-1.093886367444929135e+02,-1.089721214237170557e+02,-3.682367230180719986e+01,-4.392350363487283360e+00,-1.055941901889733892e+01,2.552240000000018938e-01
1.780397412109349966e+09,-1.093888702411410350e+02,-1.089722545006207639e+02,-3.682369773511234001e+01,-4.464523396402698907e+00,-1.071037273738919637e+01,2.596430000000005123e-01
1.780397412209377766e+09,-1.093888767696612234e+02,-1.089723370198601344e+02,-3.682377693077861380e+01,-4.464523396402698907e+00,-1.071037273738919637e+01,2.596430000000005123e-01
