timestamp,error_m
1.780397872442270041e+09,1.010882894340248299e+02
1.780397872542202950e+09,1.011649808632400180e+02
1.780397872642502546e+09,1.012404956665980933e+02
1.780397872742830276e+09,1.013181158083134363e+02
1.780397872843129635e+09,1.013899764266242016e+02
1.780397872943499088e+09,1.014752888992495485e+02
1.780397873043623209e+09,1.015530764549765621e+02
1.780397873143547297e+09,1.016460147087941266e+02
1.780397873243280888e+09,1.017385137375457589e+02
1.780397873343173742e+09,1.018446411398557103e+02
1.780397873442784071e+09,1.019291905141506760e+02
1.780397873542495728e+09,1.020241222315260501e+02
1.780397873642282963e+09,1.021132402108614343e+02
1.780397873742130280e+09,1.022119993889118206e+02
1.780397873842102766e+09,1.023238346790703872e+02
1.780397873942154169e+09,1.024358413837545783e+02
1.780397874042253971e+09,1.025596603845385886e+02
1.780397874142319918e+09,1.026720468537849200e+02
1.780397874242369652e+09,1.027125021480584763e+02
1.780397874342435837e+09,1.028127555633181061e+02
1.780397874442528248e+09,1.029132404404383436e+02
1.780397874542637587e+09,1.030033588375078324e+02
1.780397874642764330e+09,1.031008525260319715e+02
1.780397874742898703e+09,1.031869222432011952e+02
1.780397874842948198e+09,1.032991959942816464e+02
1.780397874943015099e+09,1.033889486182756059e+02
1.780397875042937994e+09,1.034958937773913306e+02
1.780397875143014431e+09,1.035796910277884422e+02
1.780397875243022442e+09,1.036768866063153354e+02
1.780397875343102217e+09,1.037286805814616883e+02
1.780397875443399191e+09,1.037829139593641656e+02
1.780397875543377876e+09,1.037893286646988855e+02
1.780397875643372059e+09,1.037967928236653705e+02
1.780397875743302107e+09,1.037654877463938021e+02
1.780397875843149900e+09,1.034839676960897208e+02
1.780397875942978144e+09,1.034098680146119875e+02
1.780397876042880774e+09,1.033368925007478367e+02
1.780397876142827511e+09,1.031943816818058224e+02
1.780397876242674112e+09,1.030566979749518168e+02
1.780397876342524767e+09,1.028549437183112047e+02
1.780397876442399025e+09,1.026556394055277508e+02
1.780397876542241812e+09,1.023934313125440241e+02
1.780397876641771078e+09,1.021354097877666760e+02
1.780397876741850853e+09,1.018140503043875782e+02
1.780397876842505693e+09,1.014861854665284397e+02
1.780397876943198204e+09,1.010933566956070564e+02
1.780397877043591261e+09,1.007017849570487584e+02
1.780397877143935442e+09,1.002715375963700666e+02
1.780397877244221210e+09,9.984814920935976090e+01
1.780397877344163895e+09,9.989016554123624303e+01
1.780397877444053411e+09,9.944899154475250214e+01
1.780397877544302940e+09,9.898537870536944183e+01
1.780397877644624472e+09,9.853473198874566208e+01
1.780397877744853497e+09,9.806651880174422331e+01
1.780397877844604015e+09,9.762361019020588060e+01
1.780397877944009066e+09,9.718498638697572289e+01
1.780397878043267488e+09,9.678221751636230863e+01
1.780397878142575026e+09,9.640614900261857656e+01
1.780397878242098570e+09,9.607581991352758166e+01
1.780397878341988564e+09,9.576168961032783500e+01
1.780397878442085266e+09,9.549412387540631642e+01
1.780397878542465448e+09,9.524478803852247211e+01
1.780397878642992496e+09,9.504398058015523532e+01
1.780397878743447542e+09,9.486513409231790206e+01
1.780397878843742609e+09,9.473538219614576406e+01
1.780397878943948030e+09,9.479009323824627131e+01
1.780397879043990850e+09,9.473014989789574258e+01
1.780397879144002914e+09,9.467820564864094024e+01
1.780397879243853331e+09,9.465275187669836043e+01
1.780397879343559742e+09,9.463142981991035185e+01
1.780397879443261862e+09,9.462752340889272773e+01
1.780397879542905331e+09,9.463984629125725689e+01
1.780397879642535925e+09,9.467563619242864092e+01
1.780397879742207527e+09,9.472462175716881916e+01
1.780397879842066526e+09,9.479066367794153791e+01
1.780397879942176819e+09,9.483839945893953427e+01
1.780397880042487383e+09,9.489295791217446663e+01
1.780397880142755747e+09,9.493016940530181103e+01
1.780397880242918491e+09,9.499750444941075500e+01
1.780397880342966318e+09,9.504204121389980742e+01
1.780397880442919731e+09,9.509747063031234404e+01
1.780397880543032646e+09,9.511684032959277602e+01
1.780397880643283367e+09,9.509518924946040386e+01
1.780397880743435860e+09,9.510389957615781498e+01
1.780397880843528748e+09,9.514438381451655857e+01
1.780397880943460941e+09,9.513992373929083612e+01
1.780397881043288469e+09,9.514305062451511219e+01
1.780397881143067122e+09,9.511004782857753526e+01
1.780397881243031025e+09,9.511500006587911571e+01
1.780397881343096733e+09,9.508430775077034980e+01
1.780397881443237066e+09,9.508269814107453044e+01
1.780397881543344975e+09,9.504309502584739278e+01
1.780397881643425226e+09,9.503846029128342821e+01
1.780397881743473768e+09,9.500808597313489656e+01
1.780397881843401194e+09,9.501411458465152293e+01
1.780397881943227530e+09,9.498392458428099872e+01
1.780397882043209076e+09,9.498392987535423515e+01
1.780397882143195152e+09,9.494580731786214756e+01
1.780397882243016005e+09,9.508505989370834754e+01
1.780397882342691183e+09,9.505430287530460021e+01
1.780397882442766428e+09,9.505636990271131026e+01
1.780397882543081999e+09,9.503598412667911077e+01
1.780397882643434048e+09,9.503808945299849142e+01
1.780397882743731737e+09,9.502313749893525596e+01
1.780397882844083309e+09,9.502356479304526715e+01
1.780397882944065809e+09,9.499531512319673254e+01
1.780397883043885469e+09,9.499685108103459186e+01
1.780397883143584728e+09,9.496835199468796418e+01
1.780397883243384838e+09,9.495726242963677066e+01
1.780397883343095303e+09,9.490999315977003903e+01
1.780397883443064213e+09,9.490708736844027271e+01
1.780397883543264866e+09,9.488338410026679526e+01
1.780397883643262386e+09,9.488219666802308438e+01
1.780397883743129015e+09,9.485328436431852595e+01
1.780397883842955351e+09,9.486684691913698941e+01
1.780397883943130732e+09,9.480992378721887803e+01
1.780397884043486357e+09,9.485797280718325908e+01
1.780397884143576384e+09,9.488054228459968442e+01
1.780397884243347406e+09,9.494102425060125938e+01
1.780397884343223333e+09,9.495921022645755727e+01
1.780397884443502665e+09,9.500108447248831567e+01
1.780397884544004440e+09,9.500817580614457825e+01
1.780397884644609451e+09,9.505197302804786830e+01
1.780397884745088577e+09,9.504779921880613358e+01
1.780397884845247984e+09,9.507436881496155934e+01
1.780397884945050001e+09,9.505845506899635211e+01
1.780397885044614553e+09,9.507561129095689978e+01
1.780397885144017696e+09,9.506018171668988259e+01
1.780397885243580341e+09,9.507766448742151510e+01
1.780397885343227863e+09,9.504620653692875010e+01
1.780397885443040371e+09,9.504455662088619761e+01
1.780397885543105125e+09,9.499545840516039164e+01
1.780397885643206120e+09,9.499038518459933300e+01
1.780397885743329763e+09,9.495515866452197429e+01
1.780397885843337297e+09,9.507723693790880759e+01
1.780397885943133354e+09,9.505042466153575731e+01
1.780397886042875290e+09,9.504280268640616214e+01
1.780397886142659187e+09,9.500898610885533913e+01
1.780397886242919683e+09,9.500081462570780388e+01
1.780397886343366385e+09,9.497014752143989824e+01
1.780397886443827152e+09,9.497198304313786821e+01
1.780397886544199228e+09,9.496121490739201931e+01
1.780397886644336224e+09,9.497449596389320448e+01
1.780397886744054317e+09,9.497340917379565894e+01
1.780397886843558550e+09,9.500874868949806284e+01
1.780397886942956448e+09,9.503363939217349809e+01
1.780397887042304516e+09,9.507938272010460423e+01
1.780397887142001152e+09,9.511736818775122515e+01
1.780397887242230892e+09,9.513957959387566632e+01
1.780397887342540503e+09,9.511848079900971697e+01
1.780397887442931175e+09,9.523221718993120533e+01
1.780397887543486357e+09,9.520072986218319500e+01
1.780397887643959761e+09,9.517764644908258731e+01
1.780397887744362593e+09,9.514943857988632203e+01
1.780397887844577312e+09,9.513972071287773247e+01
1.780397887944407463e+09,9.512063668782570858e+01
1.780397888044054985e+09,9.511237498388003075e+01
1.780397888143758059e+09,9.508163863963994800e+01
1.780397888243707895e+09,9.505457177582616168e+01
1.780397888343961716e+09,9.501225834643101109e+01
1.780397888443991661e+09,9.497234345312220682e+01
1.780397888543829441e+09,9.492985176744707587e+01
1.780397888643574715e+09,9.490056386181213099e+01
1.780397888743257999e+09,9.486089842072273370e+01
1.780397888843088865e+09,9.481681288510273475e+01
1.780397888943024635e+09,9.484251040460650017e+01
1.780397889042972088e+09,9.478772334184475312e+01
1.780397889142980576e+09,9.474139006998376544e+01
1.780397889242932558e+09,9.471071414904839969e+01
1.780397889343238592e+09,9.469535750360525128e+01
1.780397889443576336e+09,9.469123251016875997e+01
1.780397889543789625e+09,9.467561009256961313e+01
1.780397889643735409e+09,9.464888702019575817e+01
1.780397889743291378e+09,9.460328677453284740e+01
1.780397889842881203e+09,9.455710515870994470e+01
1.780397889942734241e+09,9.451484487725213057e+01
1.780397890042597771e+09,9.447206021700344536e+01
1.780397890142504454e+09,9.442602888097978564e+01
1.780397890242533207e+09,9.438367834980782334e+01
1.780397890342571974e+09,9.434433796126336347e+01
1.780397890442647457e+09,9.464684078548481239e+01
1.780397890542732239e+09,9.462072319566179601e+01
1.780397890642931700e+09,9.460710022837203326e+01
1.780397890743237019e+09,9.457255546942541002e+01
1.780397890843358278e+09,9.456480029451556391e+01
1.780397890943279028e+09,9.455487167065642495e+01
1.780397891043577194e+09,9.456821453738571392e+01
1.780397891143917561e+09,9.457305131648043073e+01
1.780397891244097948e+09,9.460569272843815725e+01
1.780397891344245195e+09,9.462513641420528643e+01
1.780397891444275618e+09,9.467710071411593731e+01
1.780397891544271469e+09,9.472437497205004320e+01
1.780397891644310951e+09,9.480208307806626067e+01
1.780397891744318008e+09,9.486143025212132329e+01
1.780397891844448805e+09,9.495836896917677450e+01
1.780397891944549799e+09,9.504000496238705864e+01
1.780397892044581413e+09,9.499923026669054593e+01
1.780397892144534826e+09,9.509292406067811498e+01
1.780397892244065285e+09,9.520821680897788042e+01
1.780397892343457699e+09,9.530644257774366679e+01
1.780397892443154335e+09,9.542075705174008249e+01
1.780397892542948723e+09,9.552222718930028122e+01
1.780397892642900705e+09,9.563216320106043611e+01
1.780397892742991209e+09,9.574129560374082359e+01
1.780397892842974663e+09,9.584076723829095101e+01
1.780397892943077803e+09,9.594391440127279225e+01
1.780397893043273687e+09,9.601925930601700543e+01
1.780397893143474579e+09,9.609712758757670770e+01
1.780397893243568659e+09,9.614927207058684644e+01
1.780397893343603134e+09,9.622135904439795695e+01
1.780397893443610430e+09,9.628363264257866661e+01
1.780397893543518543e+09,9.637673835484089579e+01
1.780397893643464088e+09,9.644154403627597105e+01
1.780397893743478060e+09,9.655946372662282329e+01
1.780397893843457937e+09,9.666482130869890455e+01
1.780397893943403482e+09,9.676961773439516890e+01
1.780397894043307543e+09,9.681285851198312287e+01
1.780397894143233776e+09,9.692210145567551649e+01
1.780397894243048906e+09,9.695505482793645058e+01
1.780397894343046665e+09,9.707849491319750257e+01
1.780397894443287611e+09,9.710960560868808500e+01
1.780397894543817282e+09,9.722778982192367891e+01
1.780397894644226313e+09,9.725383319052490094e+01
1.780397894744500160e+09,9.736478196287991693e+01
1.780397894844358921e+09,9.738519525683702227e+01
1.780397894943964720e+09,9.749455984555471844e+01
1.780397895043697119e+09,9.752155731681551742e+01
1.780397895143793344e+09,9.763407101544909494e+01
1.780397895243769169e+09,9.766039063204286208e+01
1.780397895343710899e+09,9.776094787932649410e+01
1.780397895443656683e+09,9.776638255781850262e+01
1.780397895543380737e+09,9.784271942126157739e+01
1.780397895643149853e+09,9.788555259707042921e+01
1.780397895743034363e+09,9.795276676033429908e+01
1.780397895842847824e+09,9.794470581740846171e+01
1.780397895942805290e+09,9.802199333441110696e+01
1.780397896042955160e+09,9.802793072657222240e+01
1.780397896143234968e+09,9.809270873463199791e+01
1.780397896243596792e+09,9.808117106502874094e+01
1.780397896343533039e+09,9.813711646676260614e+01
1.780397896443278074e+09,9.813075423790586171e+01
1.780397896543224335e+09,9.820410319550093448e+01
